Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
BDSAT,Czech Republic,Central European Institute of Technology,Government,Technology Demonstration,,LEO,Sun-Synchronous,2022-04-01 00:00:00,1.0,,,,Falcon 9,52175
Beesat-5,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,2021-03-22 00:00:00,1.0,,,,Soyuz-2.1a,48083
Beesat-6,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,2021-03-22 00:00:00,1.0,,,,Soyuz-2.1a,47957
Beesat-7,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,2021-03-22 00:00:00,1.0,,,,Soyuz-2.1a,48084
Beesat-8,Germany,Technical University Berlin,Civil,Technology Demonstration,,LEO,Sun-Synchronous,2021-03-22 00:00:00,1.0,,,,Soyuz-2.1a,48085
Beesat-9,Germany,Technical University Berlin,Civil,Technology Development,,LEO,Sun-Synchronous,2019-07-05 00:00:00,1.0,,,,Soyuz-2.1b,44412
Beidou 2-12,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2012-04-28 00:00:00,2200.0,,,8.0,Long March 3B,38250
Beidou 2-13,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2012-04-28 00:00:00,2200.0,,,8.0,Long March 3B,38251
Beidou 2-15,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2012-09-18 00:00:00,3800.0,,,8.0,Long March 3B,38775
Beidou 2-16,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2012-10-25 00:00:00,3800.0,2300,,8.0,Long March 3C,38953
Beidou 2-17,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2016-03-30 00:00:00,4200.0,1900,,8.0,Long March 3A,41434
Beidou 2-18,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2016-06-12 00:00:00,3800.0,,,8.0,Long March 3C,41586
Beidou 3I-1S,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2015-03-30 00:00:00,4200.0,,,8.0,Long March 3C,40549
Beidou 3I-2S,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2015-09-29 00:00:00,4200.0,,,8.0,Long March 3B,40938
Beidou 3-M1,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2017-11-05 00:00:00,800.0,280,,8.0,Long March 3B,43001
Beidou 3-23,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2019-09-22 00:00:00,800.0,280,,8.0,Long March 3B,44542
Beidou 3-24,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2019-09-22 00:00:00,800.0,280,,8.0,Long March 3B,44543
Beidou 3-25,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2017-11-05 00:00:00,800.0,280,,8.0,Long March 3B,43002
Beidou 3M-1S,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2015-07-25 00:00:00,800.0,280,,8.0,Long March 3B,40748
Beidou 3M-2S,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,2015-07-25 00:00:00,800.0,280,,8.0,Long March 3B,40749
Beidou DW 26,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-01-11 00:00:00,800.0,280,,8.0,Long March 3B,43107
Beidou DW 27,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-01-11 00:00:00,800.0,280,,8.0,Long March 3B,43108
Beidou DW 28,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-02-12 00:00:00,800.0,280,,8.0,Long March 3B,43207
Beidou DW 29,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-02-12 00:00:00,800.0,280,,8.0,Long March 3B,43208
Beidou DW 30,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-03-29 00:00:00,800.0,280,,8.0,Long March 3B,43246
Beidou DW 31,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-03-29 00:00:00,800.0,280,,8.0,Long March 3B,43245
Beidou DW 32,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2018-07-09 00:00:00,800.0,280,,8.0,Long March 3A,43539
Beidou DW 33,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-07-29 00:00:00,800.0,280,,8.0,Long March 3B,43581
Beidou DW 34,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-07-29 00:00:00,800.0,280,,8.0,Long March 3B,43582
Beidou DW 35,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-08-24 00:00:00,800.0,280,,8.0,Long March 3B,43602
Beidou DW 36,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-08-24 00:00:00,800.0,280,,8.0,Long March 3B,43603
Beidou DW 37,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-09-19 00:00:00,800.0,280,,8.0,Long March 3B,43622
Beidou DW 38,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-09-19 00:00:00,800.0,280,,8.0,Long March 3B,43623
Beidou DW 39,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-10-15 00:00:00,800.0,280,,8.0,Long March 3B,43647
Beidou DW 40,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-10-15 00:00:00,800.0,280,,8.0,Long March 3B,43648
Beidou DW 41,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2018-11-01 00:00:00,800.0,280,,8.0,Long March 3B,43683
Beidou DW 42,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-11-18 00:00:00,800.0,280,,8.0,Long March 3B,43706
Beidou DW 43,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2018-11-18 00:00:00,800.0,280,,8.0,Long March 3B,43707
Beidou DW 44,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2019-04-20 00:00:00,800.0,280,,8.0,Long March 3B,44204
Beidou DW 45,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2019-05-17 00:00:00,800.0,280,,8.0,Long March 3C,44231
Beidou DW 46,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2019-06-24 00:00:00,800.0,280,,8.0,Long March 3B,44337
Beidou 3 IGSO-3,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2019-11-05 00:00:00,4200.0,,,8.0,Long March 3B,44709
Beidou DW 50,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2019-11-23 00:00:00,800.0,280,,8.0,Long March 3B,44793
Beidou DW 51,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2019-11-23 00:00:00,800.0,280,,8.0,Long March 3B,44794
Beidou DW 52,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2019-12-16 00:00:00,800.0,280,,8.0,Long March 3B,44864
Beidou DW 53,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,MEO,,2019-12-16 00:00:00,800.0,280,,8.0,Long March 3B,44865
Beidou DW 55,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2020-06-23 00:00:00,800.0,280,,8.0,Long March 3B,45807
Beidou G3,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2020-03-09 00:00:00,2200.0,,,8.0,Long March 3B,45344
Beidou G4,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2010-10-31 00:00:00,6000.0,,,8.0,Long March 3C,37210
Beidou G5,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2012-02-24 00:00:00,2300.0,,,8.0,Long March 3A,38091
Beidou IGSO-1,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2010-07-31 00:00:00,4200.0,1900,,8.0,Long March 3A,36828
Beidou IGSO-2,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2010-12-17 00:00:00,4200.0,1900,,8.0,Long March 3A,37256
Beidou IGSO-3,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2011-04-09 00:00:00,4200.0,1900,,,Long March 3A,37384
Beidou IGSO-4,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2011-07-26 00:00:00,4200.0,1900,,8.0,Long March 3A,37763
Beidou IGSO-5,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,,GEO,,2011-12-01 00:00:00,4200.0,1900,,8.0,Long March 3A,37948
Beijing-3,China ,21st Century Aerospace Technology (21AT),Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-06-11 00:00:00,,,,,Long March 2D,48840
BeijinGalaxy-1,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2005-10-27 00:00:00,166.0,155,50,7.0,Kosmos 3M,28890
Belintersat-1,Belarus,Belintersat,Government,Communications,,GEO,,2016-01-15 00:00:00,5223.0,,,15.0,Long March 3B,41238
Bispectral InfraRed Detector 2 (Bird 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,2001-10-22 00:00:00,92.0,77,120,1.5,PSLV C3,26959
BIROS,Germany,German Aerospace Center (DLR),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2016-06-22 00:00:00,130.0,,,,PSLV XL,41604
BisonSat,USA,Salish Kootenai College,Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Non-Polar Inclined,2015-10-08 00:00:00,1.0,,,,Atlas 5,40968
BKA 2,Belarus,National Academy of Sciences,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2012-07-22 00:00:00,400.0,110,300,5.0,Soyuz-Fregat,38708
BlackSky Global 1,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2018-11-29 00:00:00,56.0,,,,PSLV,43730
BlackSky Global 14,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2021-11-18 00:00:00,55.0,,,,Electron,49469
BlackSky Global 15,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2021-11-18 00:00:00,55.0,,,,Electron,49470
BlackSky Global 16,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2021-12-09 00:00:00,55.0,,,,Electron,49950
BlackSky Global 17,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2021-12-09 00:00:00,55.0,,,,Electron,49949
BlackSky Global 18,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2022-04-02 00:00:00,55.0,50,,,Electron,52196
BlackSky Global 2,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2018-12-03 00:00:00,55.0,,,,Falcon 9,43812
BlackSky Global 20,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2022-04-02 00:00:00,55.0,50,,,Electron,52197
BlackSky Global 3,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2019-06-29 00:00:00,56.0,,,,Electron,44367
BlackSky Global 4,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2019-08-19 00:00:00,56.0,,,,Electron,44499
BlackSky Global 7,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2020-08-07 00:00:00,56.0,,,,Falcon 9,46088
BlackSky Global 8,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2020-08-07 00:00:00,56.0,,,,Falcon 9,46089
BlackSky Global 9,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,2021-03-22 00:00:00,56.0,,,,Electron,47971
BlackSky Pathfinder 1,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2016-09-26 00:00:00,44.0,,,3.0,PSLV,41787
Cosmos 2520,Russia,Ministry of Defense,Military/Commercial,Communications,,GEO,,2017-08-16 00:00:00,3000.0,,,15.0,Proton,42907
Cosmos 2526,Russia,Ministry of Defense,Military/Commercial,Communications,,GEO,,2018-04-18 00:00:00,3000.0,,,15.0,Proton,43432
Cosmos 2533,Russia,Ministry of Defense,Military/Commercial,Communications,,GEO,,2018-12-20 00:00:00,3000.0,,,15.0,Proton,43867
Cosmos 2539,Russia,Ministry of Defense,Military/Commercial,Communications,,GEO,,2019-08-05 00:00:00,3000.0,,,15.0,Proton,44457
Bluewalker 1,Lithuania,NanoAvionics,Commercial,Technology Development,,LEO,Sun-Synchronous,2019-04-01 00:00:00,10.0,,,,PSLV,44105
Bluewalker 3,USA,AST SpaceMobile,Commercial,Communications,,LEO,Non-Polar Inclined,2022-09-11 00:00:00,1500.0,,,,Falcon 9,53808
Brazilsat B-4,Brazil,Embratel Star One,Commercial,Communications,,GEO,,2000-08-17 00:00:00,2495.0,1050,"1,800 (BOL)",12.0,Ariane 44LP,26469
Brik-II,Netherlands,Ministry of Defense,Government,Earth Observation,Signals Intelligence,LEO,Non-Polar Inclined,2021-06-30 00:00:00,10.0,,,,LauncherOne,48876
BRIO,USA,"SpaceQuest, Ltd.",Commercial,Technology Development,,LEO,Sun-Synchronous,2018-12-03 00:00:00,4.0,,,,Falcon 9,43813
BRISat,Indonesia,Bank Rakyat Indonesia (BRI),Commercial,Communications,,GEO,,2016-06-19 00:00:00,3540.0,,,15.0,Ariane 5 ECA,41591
BRITE-CA-1,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Space Science,,LEO,Sun-Synchronous,2014-06-19 00:00:00,10.0,,,,Dnepr,40020
BRITE-PL-2,Multinational,BRITE Consortium,Government,Space Science,,LEO,Sun-Synchronous,2014-08-19 00:00:00,10.0,,,2.0,Long March 2B,40119
BRO-1,France,UnseenLabs,Commercial,Earth Observation,Maritime Surveillance,LEO,Non-Polar Inclined,2019-08-19 00:00:00,8.0,,,,Electron,44495
BRO-4,France,UnseenLabs,Commercial,Earth Observation,Maritime Surveillance,LEO,Sun-Synchronous,2021-08-17 00:00:00,8.0,,,,Vega,49066
BRO-7,France,UnseenLabs,Commercial,Earth Observation,Maritime Surveillance,LEO,Sun-Synchronous,2022-04-01 00:00:00,10.0,,,,Falcon 9,52174
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,2007-08-14 00:00:00,1980.0,,,13.0,Ariane 5 ECA,32019
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,2010-10-28 00:00:00,2060.0,975,,15.0,Ariane 5 ECA,37207
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,2011-08-06 00:00:00,2910.0,,,15.0,Ariane 5 ECA,37776
BSAT-4A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,2017-09-29 00:00:00,3520.0,,,15.0,Ariane 5,42951
BSAT-4B,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,2020-08-15 00:00:00,3520.0,,,15.0,Ariane 5,46112
Buccaneer RMM,Australia,Defence Science and Technology Group/University of New South Wales,Military/Civil,Technology Development,,LEO,,2017-11-18 00:00:00,4.0,,,5.0,Delta 2,43014
Bufeng-1A,China,China Academy of Space Technology (CAST),Government,Earth Observation,Meteorology,LEO,Non-Polar Inclined,2019-06-05 00:00:00,,,,,Long March 11,44312
Bufeng-1B,China,China Academy of Space Technology (CAST),Government,Earth Observation,Meteorology,LEO,Non-Polar Inclined,2019-06-05 00:00:00,,,,,Long March 11,44314
Bugsat-1,Argentina,Satellogic S.A.,Commercial,Technology Development,,LEO,Sun-Synchronous,2014-06-19 00:00:00,25.0,,,,Dnepr,40014
BulgariaSat-1,Bulgaria,Bulsatcom,Commercial,Communications,,GEO,,2017-06-23 00:00:00,3669.0,,,15.0,Falcon 9,42801
CACTUS-1,USA,Capital Technology University,Government/Civil,Technology Development,,LEO,Non-Polar Inclined,2021-01-17 00:00:00,4.0,,,,LauncherOne,47320
Calipso,France,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,,LEO,Sun-Synchronous,2006-04-28 00:00:00,587.0,,550,3.0,Delta 2,29108
CanX-2,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,Technology Development,,LEO,Sun-Synchronous,2008-04-28 00:00:00,7.0,,,,PSLV C9,32790
CanX-4,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,Technology Development,,LEO,Sun-Synchronous,2014-06-30 00:00:00,15.0,,,,PSLV-CA,40055
CanX-5,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,Technology Development,,LEO,Sun-Synchronous,2014-06-30 00:00:00,15.0,,,,PSLV-CA,40056
CanX-7,Canada,"University of Toronto, Institute for Aerospace Studies",Government/Civil,Technology Development,,LEO,Sun-Synchronous,2016-09-26 00:00:00,15.0,,,,PSLV,41788
CAPE-3,USA,University of Louisiana at Lafayette,Civil,Technology Development,,LEO,Non-Polar Inclined,2021-01-17 00:00:00,1.0,,,,LauncherOne,47309
Capella-1,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Sun-Synchronous,2018-12-03 00:00:00,37.0,,,,Falcon 9,43791
Capella-2,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Non-Polar Inclined,2020-08-31 00:00:00,107.0,,,,Electron,46269
Capella-3,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Sun-Synchronous,2021-01-24 00:00:00,107.0,,,,Falcon 9,47489
Capella-4,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Sun-Synchronous,2021-01-24 00:00:00,107.0,,,,Falcon 9,47481
Capella-5,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Sun-Synchronous,2021-06-30 00:00:00,107.0,,,,Falcon 9,48913
Capella-6,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Non-Polar Inclined,2021-05-06 00:00:00,100.0,,,,Falcon 9,48605
Capella-7,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Sun-Synchronous,2022-01-13 00:00:00,112.0,,,,Falcon 9,51072
Capella-8,USA,Capella Space,Commercial,Earth Observation,Radar Imaging (SAR),LEO,Sun-Synchronous,2022-01-13 00:00:00,112.0,,,,Falcon 9,51071
CartoSat 1,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2005-05-05 00:00:00,1560.0,1450,1100,6.0,PSLV C6,28649
CartoSat 2,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2007-01-10 00:00:00,680.0,,,5.0,PSLV C7,29710
CartoSat 2A,India,Indian Space Research Organization (ISRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2008-04-28 00:00:00,680.0,,,5.0,PSLV C9,32783
CartoSat 2B,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2010-07-12 00:00:00,694.0,,,5.0,PSLV,36795
CartoSat 2C,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2016-06-22 00:00:00,727.0,,,5.0,PSLV XL,41599
CartoSat 2D,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2017-02-15 00:00:00,714.0,,,5.0,PSLV XL,41948
CartoSat 2E,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2017-06-22 00:00:00,712.0,,,5.0,PSLV,42767
CartoSat 2F,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2018-01-11 00:00:00,712.0,,,5.0,PSLV,43111
CartoSat 3,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2019-11-27 00:00:00,1625.0,,,5.0,PSLV,44804
CAS500-1,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,2021-03-22 00:00:00,500.0,,,,Soyuz-2.1a,47932
Cassiope,Canada,Canadian Space Agency,Government,Earth Science,,LEO,Elliptical,2013-09-29 00:00:00,490.0,,600,2.0,Falcon 9,39265
USA 283,USA,US Air Force,Military,Communications,,GEO,,2018-04-14 00:00:00,,,,,Atlas 5,43339
CBERS 4,China/Brazil,China National Space Administration (CNSA)/National Institute for Space Research (Brazil),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2014-12-07 00:00:00,1980.0,,2300,3.0,Long March 4B,40336
CBERS 4A,China/Brazil,China National Space Administration (CNSA)/National Institute for Space Research (Brazil),Government,Earth Observation ,Optical Imaging,LEO,Sun-Synchronous,2019-12-21 00:00:00,1980.0,,2100,5.0,Long March 4B,44883
CBNT-1,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,2015-07-10 00:00:00,91.0,,,,PSLV,40718
CBNT-2,United Kingdom,Earth-i/Surrey Satellite Technology Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,2018-01-11 00:00:00,,,,,PSLV,43115
CELTEE-1,USA,Air Force Research Laboratory,Military,Technology Development,,LEO,Sun-Synchronous,2016-11-11 00:00:00,3.0,,,,Atlas 5,41850
Centauri-1,Australia,Fleet Space Technologies,Commercial,Communications,,LEO,Sun-Synchronous,2018-11-29 00:00:00,4.0,,,,PSLV,43809
Centauri-2,Australia,Fleet Space Technologies,Commercial,Technology Development,,LEO,Sun-Synchronous,2018-12-03 00:00:00,4.0,,,,Falcon 9,43722
Centispace-1-S1,China,Beijing Future Navigation Technology Co. Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,2018-09-29 00:00:00,100.0,,,,Kuaizhou,43636
CeReS,USA,NASA Goddard Space Flight Center,Government,Space Science,,LEO,Polar,2018-12-16 00:00:00,4.0,,,,Electron,43853
CERES,France,Ministry of Armed Forces,Military,Earth Observation,Electronic Intelligence,LEO,Polar,2021-11-16 00:00:00,400.0,,,,Vega,49464
