Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
AT&T T16,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,2019-06-20 00:00:00,6350.0,,,15.0,Ariane 5,44333
Athena,USA,PointView Tech,Commercial,Communications,,LEO,Sun-Synchronous,2020-09-02 00:00:00,138.0,,,,Vega,46275
Athena-Fidus,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,,GEO,,2014-02-06 00:00:00,3080.0,,,15.0,Ariane 5 ECA,39509
Athenoxat-1,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,,LEO,Equatorial,2015-12-16 00:00:00,6.0,,,,PSLV-C29,41168
Azerspace 1/Africasat-1a,Azerbaijan,Azercosmos,Government,Communications,,GEO,,2013-02-07 00:00:00,3250.0,1438,,15.0,Ariane 5 ECA,39079
Azerspace 2/Intelsat-38,Azerbaijan,Azercosmos,Government,Communications,,GEO,,2018-09-25 00:00:00,3500.0,,,15.0,Ariane 5 ECA,43632
Badr 4,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,2006-11-08 00:00:00,3304.0,1487,,15.0,Proton M,29526
Badr 5,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,2010-06-03 00:00:00,5420.0,,,15.0,Proton,36592
Badr 5A,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,2010-06-26 00:00:00,4940.0,,,15.0,Ariane 5 ECA,36745
Badr 6,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,2008-07-07 00:00:00,3400.0,,6000,15.0,Ariane 5 ECA,33154
Badr 7,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,2015-11-10 00:00:00,5500.0,,,15.0,Ariane 5,41029
Bangabandhu 1,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,,GEO,,2018-05-11 00:00:00,3500.0,,,15.0,Falcon 9,43463
Baoyun,China,Tianyi Research Institute,Civil,Unknown,,LEO,Sun-Synchronous,2021-12-06 00:00:00,20.0,,,,Ceres 1,49814
Cosmos 2503,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,2015-02-27 00:00:00,4000.0,,,5.0,Soyuz-2.1b,40420
Cosmos 2515,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,2016-03-24 00:00:00,4000.0,,,5.0,Soyuz-2.1a,41394
Cosmos 2556,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,2022-05-19 00:00:00,3700.0,,,5.0,Soyuz-2.1a,52713
BDSAGR-1,China,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,,LEO,Sun-Synchronous,2019-12-21 00:00:00,40.0,,,3.0,Long March 4B,44879
